Luna_Liquidation_Price,Loan_Value
88,700.9K
87,3.1M
86,10.2M
84,31.4M
83,21.0M
81,39.6M
80,48.2M
79,114.2M
77,76.7M
76,45.0M
75,120.1M
73,136.4M
71,72.6M
70,56.8M
69,126.8M
68,45.0M
67,120.6M
65,47.1M
64,318.7M
63,40.3M
62,132.6M
60,26.0M
59,221.1M
58,21.3M
56,29.3M
55,10.5M
53,29.1M
52,12.9M
51,201.3M
50,7.7M
49,246.4M
48,264.5M
47,163.7M
46,11.2M
45,5.4M
44,13.9M
43,10.7M
41,61.3M
40,37.6M
39,4.3M
38,4.2M
37,5.8M
36,2.3M
35,3.0M
34,73.0M
32,2.7M
31,5.5M
30,1.7M
29,1.9M
28,3.4M
27,1.1M
26,723.0K
25,2.4M
24,1.2M
23,1.7M
21,2.1M
20,992.1K
19,678.8K
18,396.2K
17,1.5M
16,206.7K
15,306.7K
14,236.9K
13,212.9K
12,305.6K
11,107.2K
10,623.3K
9,66.4K
8,58.9K
7,20.4K
6,44.7K
4,37.5K
3,12.7K
2,32.6K
1,6.4K
0,1.6K
