timestamp,sender,amount,premium_slot,strategy_activate_ltv,strategy_activate_amount
2022-04-26 17:05:27,xs4m9l6n,372.4K,4%,99%,1.0M
2022-04-26 15:57:28,xs4m9l6n,372.4K,5%,99%,1.0M
2022-04-25 09:01:59,xs4m9l6n,372.4K,5%,99%,1.0M
2022-04-24 16:23:10,gj8hpy7d,193.4K,2%,96%,3.0M
2022-04-24 14:29:56,gj8hpy7d,193.4K,3%,98%,1.0M
2022-04-24 00:26:18,gj8hpy7d,193.4K,3%,98%,1.0M
2022-04-23 20:40:39,gj8hpy7d,8.1K,3%,99%,1.0M
2022-04-22 21:17:31,gj8hpy7d,185.3K,3%,99%,1.0M
2022-04-22 15:50:29,gj8hpy7d,185.3K,3%,98%,1.0M
2022-04-22 15:38:29,xs4m9l6n,372.4K,5%,99%,1.0M
2022-04-22 10:17:41,lxzc4shq,808.1K,3%,99%,1.0M
2022-04-22 10:16:22,lxzc4shq,808.1K,4%,99%,1.0M
2022-04-22 01:40:42,gj8hpy7d,185.4K,3%,98%,1.0M
2022-04-21 22:48:54,gj8hpy7d,9.4K,3%,98%,1.0M
2022-04-21 22:08:28,xs4m9l6n,365.4K,4%,99%,1.0M
2022-04-21 22:07:09,xs4m9l6n,365.4K,3%,99%,1.0M
2022-04-21 22:04:16,xs4m9l6n,182.7K,4%,99%,1.0M
2022-04-21 22:02:41,xs4m9l6n,182.7K,4%,99%,1.0M
2022-04-21 19:05:43,gj8hpy7d,185.3K,3%,98%,1.0M
2022-04-21 02:16:02,gj8hpy7d,185.2K,3%,98%,1.0M
2022-04-20 16:24:36,gj8hpy7d,185.2K,3%,98%,1.0M
2022-04-20 01:26:26,gj8hpy7d,165.1K,3%,98%,1.0M
2022-04-19 01:01:56,gj8hpy7d,165.2K,3%,98%,1.0M
2022-04-18 04:55:00,gj8hpy7d,29.3K,3%,98%,1.0M
2022-04-18 04:49:17,gj8hpy7d,78.0K,3%,98%,1.0M
2022-04-18 04:40:06,xs4m9l6n,395.5K,4%,99%,1.0M
2022-04-18 04:37:24,gj8hpy7d,55.5K,3%,98%,1.0M
2022-04-18 00:04:27,gj8hpy7d,163.2K,3%,98%,1.0M
2022-04-15 07:14:52,xs4m9l6n,156.3K,5%,99%,1.0M
2022-04-14 21:43:19,xs4m9l6n,239.4K,5%,99%,1.0M
2022-04-14 15:59:12,xs4m9l6n,129.8K,4%,99%,1.0M
2022-04-14 14:08:23,xs4m9l6n,393.0K,4%,99%,1.0M
