timestamp,sender,amount,premium_slot,strategy_activate_ltv,strategy_activate_amount
2022-04-22 21:17:31-05:00,gj8hpy7d,1.85M,3%,99%,1.0M
2022-04-22 15:50:29-05:00,gj8hpy7d,1.85M,3%,98%,1.0M
2022-04-22 15:38:29-05:00,xs4m9l6n,3.72M,5%,99%,1.0M
2022-04-22 10:17:41-05:00,lxzc4shq,8.08M,3%,99%,1.0M
2022-04-22 10:16:22-05:00,lxzc4shq,8.08M,4%,99%,1.0M
2022-04-22 01:40:42-05:00,gj8hpy7d,1.85M,3%,98%,1.0M
2022-04-21 22:48:54-05:00,gj8hpy7d,0.09M,3%,98%,1.0M
2022-04-21 22:08:28-05:00,xs4m9l6n,3.65M,4%,99%,1.0M
2022-04-21 22:07:09-05:00,xs4m9l6n,3.65M,3%,99%,1.0M
2022-04-21 22:04:16-05:00,xs4m9l6n,1.83M,4%,99%,1.0M
2022-04-21 22:02:41-05:00,xs4m9l6n,1.83M,4%,99%,1.0M
2022-04-21 19:05:43-05:00,gj8hpy7d,1.85M,3%,98%,1.0M
2022-04-21 02:16:02-05:00,gj8hpy7d,1.85M,3%,98%,1.0M
2022-04-20 16:24:36-05:00,gj8hpy7d,1.85M,3%,98%,1.0M
2022-04-20 01:26:26-05:00,gj8hpy7d,1.65M,3%,98%,1.0M
2022-04-19 01:01:56-05:00,gj8hpy7d,1.65M,3%,98%,1.0M
2022-04-18 04:55:00-05:00,gj8hpy7d,0.29M,3%,98%,1.0M
2022-04-18 04:49:17-05:00,gj8hpy7d,0.78M,3%,98%,1.0M
2022-04-18 04:40:06-05:00,xs4m9l6n,3.95M,4%,99%,1.0M
2022-04-18 04:37:24-05:00,gj8hpy7d,0.56M,3%,98%,1.0M
2022-04-18 00:04:27-05:00,gj8hpy7d,1.63M,3%,98%,1.0M
2022-04-17 23:36:38-05:00,gj8hpy7d,1.63M,4%,98%,1.0M
2022-04-17 22:06:37-05:00,gj8hpy7d,1.61M,3%,98%,1.0M
2022-04-17 01:13:57-05:00,gj8hpy7d,1.61M,3%,98%,1.0M
2022-04-16 01:43:51-05:00,gj8hpy7d,1.61M,4%,98%,1.0M
2022-04-15 07:14:52-05:00,xs4m9l6n,1.56M,5%,99%,1.0M
2022-04-14 21:43:19-05:00,xs4m9l6n,2.39M,5%,99%,1.0M
2022-04-14 21:35:34-05:00,gj8hpy7d,1.61M,4%,99%,1.0M
2022-04-14 15:59:12-05:00,xs4m9l6n,1.30M,4%,99%,1.0M
2022-04-14 14:08:23-05:00,xs4m9l6n,3.93M,4%,99%,1.0M
2022-04-13 22:27:03-05:00,gj8hpy7d,1.75M,4%,99%,1.0M
